x,height
234,61.7558
235,58.9804
236,55.8639
237,52.5938
238,49.3619
239,46.3071
240,43.5105
241,41.0285
242,38.8995
243,37.1448
244,35.7683
245,34.7570
246,34.0824
247,33.7051
248,33.5811
249,33.6668
250,33.9198
251,34.3007
252,34.7710
253,35.2919
254,35.8203
255,36.3051
256,36.6891
257,36.9163
258,36.9420
259,36.7227
260,36.2209
261,35.4235
262,34.3461
263,33.0341
264,31.5580
265,30.0033
266,28.4571
267,26.9949
268,25.6690
269,24.5007
270,23.4785
271,22.5635
272,21.7064
273,20.8756
274,20.0524
275,19.2135
276,18.3331
277,17.3874
278,16.3582
279,15.2511
280,14.1324
281,13.1025
282,12.2512
283,11.6330
284,11.2605
285,11.1069
286,11.1152
287,11.2077
288,11.2971
289,11.2961
290,11.1271
291,10.7312
292,10.0782
293,9.1795
294,8.0928
295,6.9100
296,5.7580
297,4.7596
298,4.0004
299,3.5110
300,3.2661
301,3.1946
302,3.1948
303,3.1518
304,2.9504
305,2.4862
306,1.6801
307,0.4919
308,-1.0710
309,-2.9509
310,-5.0478
311,-7.2411
312,-9.4303
313,-11.5688
314,-13.6515
315,-15.6871
316,-17.6788
317,-19.6133
318,-21.4563
319,-23.1510
320,-24.6204
321,-25.7718
322,-26.5045
323,-26.7227
324,-26.3533
325,-25.3732
326,-23.8196
327,-21.7715
328,-19.3316
329,-16.6010
330,-13.6710
331,-10.6300
332,-7.5682
333,-4.5945
334,-1.8169
335,0.6813
336,2.8551
337,4.7019
338,6.2568
339,7.5844
340,8.7657
341,9.8843
342,11.0150
343,12.2121
344,13.5016
345,14.8793
346,16.3159
347,17.7704
348,19.1941
349,20.5297
350,21.7166
351,22.6971
352,23.4136
353,23.8016
354,23.7878
355,23.3179
356,22.3850
357,21.0368
358,19.3687
359,17.5067
360,15.5872
361,13.7341
362,12.0407
363,10.5559
364,9.2788
365,8.1634
366,7.1357
367,6.1174
368,5.0314
369,3.8108
370,2.4114
371,0.8184
372,-0.9522
373,-2.8549
374,-4.8215
375,-6.7711
376,-8.6231
377,-10.3109
378,-11.7887
379,-13.0370
380,-14.0661
381,-14.9198
382,-15.6716
383,-16.4149
384,-17.2388
385,-18.1892
386,-19.2523
387,-20.3775
388,-21.4995
389,-22.5553
390,-23.4943
391,-24.2856
392,-24.9187
393,-25.4047
394,-25.7732
395,-26.0682
396,-26.3409
397,-26.6392
398,-26.9917
399,-27.3856
400,-27.7571
401,-28.0281
402,-28.1281
403,-27.9899
404,-27.5522
405,-26.7653
406,-25.5910
407,-24.0028
408,-21.9988
409,-19.6052
410,-16.8717
411,-13.8685
412,-10.6801
413,-7.3939
414,-4.0890
415,-0.8242
416,2.3700
417,5.4967
418,8.5897
419,11.7043
420,14.8936
421,18.1855
422,21.5922
423,25.1203
424,28.7632
425,32.4959
426,36.2816
427,40.0771
428,43.8301
429,47.4746
430,50.9298
431,54.1075
432,56.9185
433,59.2835
434,61.1436
435,62.4707
436,63.2745
437,63.6043
438,63.5433
439,63.1928
440,62.6486
441,61.9911
442,61.2996
443,60.6440
444,60.0769
445,59.6275
446,59.2977
447,59.0617
448,58.8691
449,58.6550
450,58.3576
451,57.9442
452,57.4227
453,56.8324
454,56.2345
455,55.7029
456,55.3119
457,55.1192
458,55.1400
459,55.3499
460,55.7193
461,56.2166
462,56.7922
463,57.3719
464,57.8590
465,58.1422
466,58.1069
467,57.6497
468,56.6910
469,55.1874
470,53.1382
471,50.5865
472,47.6120
473,44.3091
474,40.7651
475,37.0664
476,33.3044
477,29.5671
478,25.9410
479,22.5103
480,19.3505
481,16.5212
482,14.0543
483,11.9482
484,10.1707
485,8.6611
486,7.3404
487,6.1229
488,4.9301
489,3.7029
490,2.4107
491,1.0578
492,-0.3211
493,-1.6713
494,-2.9429
495,-4.1072
496,-5.1452
497,-6.0520
498,-6.8452
499,-7.5616
500,-8.2497
501,-8.9613
502,-9.7614
503,-10.7369
504,-11.9682
505,-13.5037
506,-15.3471
507,-17.4549
508,-19.7409
509,-22.0847
510,-24.3479
511,-26.3901
